Date,Close,MIN.YEAR,Year,New.Year,Min,Min.Date,Max,Max.Date,New.Year
12/29/15,8.42,1/2/15,,,,,,,
12/30/15,8.3475,1/2/15,,,,,,,
12/31/15,8.24,1/2/15,,,,,,,
1/4/16,8.0925,1/4/16,,,,,,,
1/5/16,8.2225,1/4/16,,,,,,,
1/6/16,7.8825,1/4/16,,,,,,,
1/7/16,7.57,1/4/16,,,,,,,
1/8/16,7.4075,1/4/16,,,,,,,
1/11/16,7.42,1/4/16,,,,,,,
1/12/16,7.545,1/4/16,,,,,,,
1/13/16,7.315,1/4/16,,,,,,,
1/14/16,7.1675,1/4/16,,,,,,,
1/15/16,6.7775,1/4/16,,,,,,,
1/19/16,6.8325,1/4/16,,,,,,,
1/20/16,6.87,1/4/16,,,,,,,
1/21/16,6.95,1/4/16,,,,,,,
1/22/16,7.1125,1/4/16,,,,,,,
1/25/16,7.105,1/4/16,,,,,,,
1/26/16,7.175,1/4/16,,,,,,,
1/27/16,7.09,1/4/16,,,,,,,
1/28/16,7.0125,1/4/16,,,,,,,
1/29/16,7.3225,1/4/16,,,,,,,
2/1/16,7.325,1/4/16,,,,,,,
2/2/16,7.015,1/4/16,,,,,,,
2/3/16,7.05,1/4/16,,,,,,,
2/4/16,7.0525,1/4/16,,,,,,,
2/5/16,6.6075,1/4/16,,,,,,,
2/8/16,6.305,1/4/16,,,,,,,
2/9/16,6.3725,1/4/16,,,,,,,
2/10/16,6.3575,1/4/16,,,,,,,
2/11/16,6.325,1/4/16,,,,,,,
2/12/16,6.4325,1/4/16,,,,,,,
2/16/16,6.7475,1/4/16,,,,,,,
2/17/16,6.915,1/4/16,,,,,,,
2/18/16,7.51,1/4/16,,,,,,,
2/19/16,7.61,1/4/16,,,,,,,
2/22/16,7.88,1/4/16,,,,,,,
2/23/16,7.9,1/4/16,,,,,,,
2/24/16,7.955,1/4/16,,,,,,,
2/25/16,7.9725,1/4/16,,,,,,,
2/26/16,7.92,1/4/16,,,,,,,
2/29/16,7.84,1/4/16,,,,,,,
3/1/16,8.1875,1/4/16,,,,,,,
3/2/16,8.235,1/4/16,,,,,,,
3/3/16,8.1625,1/4/16,,,,,,,
3/4/16,8.1375,1/4/16,,,,,,,
3/7/16,8.085,1/4/16,,,,,,,
3/8/16,7.9375,1/4/16,,,,,,,
3/9/16,7.9325,1/4/16,,,,,,,
3/10/16,7.92,1/4/16,,,,,,,
3/11/16,8.055,1/4/16,,,,,,,
3/14/16,8.075,1/4/16,,,,,,,
3/15/16,8.035,1/4/16,,,,,,,
3/16/16,8.275,1/4/16,,,,,,,
3/17/16,8.205,1/4/16,,,,,,,
3/18/16,8.4525,1/4/16,,,,,,,
3/21/16,8.4775,1/4/16,,,,,,,
3/22/16,8.4625,1/4/16,,,,,,,
3/23/16,8.6075,1/4/16,,,,,,,
3/24/16,8.62,1/4/16,,,,,,,
3/28/16,8.7075,1/4/16,,,,,,,
3/29/16,8.8475,1/4/16,,,,,,,
3/30/16,8.94,1/4/16,,,,,,,
3/31/16,8.9075,1/4/16,,,,,,,
4/1/16,9.0375,1/4/16,,,,,,,
4/4/16,8.95,1/4/16,,,,,,,
4/5/16,8.9375,1/4/16,,,,,,,
4/6/16,8.95,1/4/16,,,,,,,
4/7/16,8.8575,1/4/16,,,,,,,
4/8/16,8.915,1/4/16,,,,,,,
4/11/16,8.97,1/4/16,,,,,,,
4/12/16,8.96,1/4/16,,,,,,,
4/13/16,9.185,1/4/16,,,,,,,
4/14/16,9.21,1/4/16,,,,,,,
4/15/16,9.2825,1/4/16,,,,,,,
4/18/16,9.2425,1/4/16,,,,,,,
4/19/16,9.0775,1/4/16,,,,,,,
4/20/16,9.1125,1/4/16,,,,,,,
4/21/16,9.1025,1/4/16,,,,,,,
4/22/16,9.0675,1/4/16,,,,,,,
4/25/16,9.1125,1/4/16,,,,,,,
4/26/16,9.12,1/4/16,,,,,,,
4/27/16,9.3275,1/4/16,,,,,,,
4/28/16,9.05,1/4/16,,,,,,,
4/29/16,8.8825,1/4/16,,,,,,,
5/2/16,9,1/4/16,,,,,,,
5/3/16,8.8925,1/4/16,,,,,,,
5/4/16,8.69,1/4/16,,,,,,,
5/5/16,8.7425,1/4/16,,,,,,,
5/6/16,8.8325,1/4/16,,,,,,,
5/9/16,8.82,1/4/16,,,,,,,
5/10/16,8.99,1/4/16,,,,,,,
5/11/16,9.015,1/4/16,,,,,,,
