Date,Close,MIN.YEAR,Year,New.Year,Min,Min.Date,Max,Max.Date
6/19/2017,6239.009766,1/3/2017,,,,,,
6/20/2017,6188.029785,1/3/2017,,,,,,
6/21/2017,6233.950195,1/3/2017,,,,,,
6/22/2017,6236.689941,1/3/2017,,,,,,
6/23/2017,6265.25,1/3/2017,,,,,,
6/26/2017,6247.149902,1/3/2017,,,,,,
6/27/2017,6146.620117,1/3/2017,,,,,,
6/28/2017,6234.410156,1/3/2017,,,,,,
6/29/2017,6144.350098,1/3/2017,,,,,,
6/30/2017,6140.419922,1/3/2017,,,,,,
7/3/2017,6110.060059,1/3/2017,,,,,,
7/5/2017,6150.859863,1/3/2017,,,,,,
7/6/2017,6089.459961,1/3/2017,,,,,,
7/7/2017,6153.080078,1/3/2017,,,,,,
7/10/2017,6176.390137,1/3/2017,,,,,,
7/11/2017,6193.299805,1/3/2017,,,,,,
7/12/2017,6261.169922,1/3/2017,,,,,,
7/13/2017,6274.439941,1/3/2017,,,,,,
7/14/2017,6312.470215,1/3/2017,,,,,,
7/17/2017,6314.430176,1/3/2017,,,,,,
7/18/2017,6344.310059,1/3/2017,,,,,,
7/19/2017,6385.040039,1/3/2017,,,,,,
7/20/2017,6390,1/3/2017,,,,,,
7/21/2017,6387.75,1/3/2017,,,,,,
7/24/2017,6410.810059,1/3/2017,,,,,,
7/25/2017,6412.169922,1/3/2017,,,,,,
7/26/2017,6422.75,1/3/2017,,,,,,
7/27/2017,6382.189941,1/3/2017,,,,,,
7/28/2017,6374.680176,1/3/2017,,,,,,
7/31/2017,6348.120117,1/3/2017,,,,,,
8/1/2017,6362.939941,1/3/2017,,,,,,
8/2/2017,6362.649902,1/3/2017,,,,,,
8/3/2017,6340.339844,1/3/2017,,,,,,
8/4/2017,6351.560059,1/3/2017,,,,,,
8/7/2017,6383.77002,1/3/2017,,,,,,
8/8/2017,6370.459961,1/3/2017,,,,,,
8/9/2017,6352.330078,1/3/2017,,,,,,
8/10/2017,6216.870117,1/3/2017,,,,,,
8/11/2017,6256.560059,1/3/2017,,,,,,
8/14/2017,6340.22998,1/3/2017,,,,,,
8/15/2017,6333.009766,1/3/2017,,,,,,
8/16/2017,6345.109863,1/3/2017,,,,,,
8/17/2017,6221.910156,1/3/2017,,,,,,
8/18/2017,6216.529785,1/3/2017,,,,,,
8/21/2017,6213.129883,1/3/2017,,,,,,
8/22/2017,6297.47998,1/3/2017,,,,,,
8/23/2017,6278.410156,1/3/2017,,,,,,
8/24/2017,6271.330078,1/3/2017,,,,,,
8/25/2017,6265.640137,1/3/2017,,,,,,
8/28/2017,6283.02002,1/3/2017,,,,,,
8/29/2017,6301.890137,1/3/2017,,,,,,
8/30/2017,6368.310059,1/3/2017,,,,,,
8/31/2017,6428.660156,1/3/2017,,,,,,
9/1/2017,6435.330078,1/3/2017,,,,,,
9/5/2017,6375.569824,1/3/2017,,,,,,
9/6/2017,6393.310059,1/3/2017,,,,,,
9/7/2017,6397.870117,1/3/2017,,,,,,
9/8/2017,6360.189941,1/3/2017,,,,,,
9/11/2017,6432.259766,1/3/2017,,,,,,
9/12/2017,6454.279785,1/3/2017,,,,,,
9/13/2017,6460.189941,1/3/2017,,,,,,
9/14/2017,6429.080078,1/3/2017,,,,,,
9/15/2017,6448.470215,1/3/2017,,,,,,
9/18/2017,6454.640137,1/3/2017,,,,,,
9/19/2017,6461.319824,1/3/2017,,,,,,
9/20/2017,6456.040039,1/3/2017,,,,,,
9/21/2017,6422.689941,1/3/2017,,,,,,
9/22/2017,6426.919922,1/3/2017,,,,,,
9/25/2017,6370.589844,1/3/2017,,,,,,
9/26/2017,6380.160156,1/3/2017,,,,,,
9/27/2017,6453.259766,1/3/2017,,,,,,
9/28/2017,6453.450195,1/3/2017,,,,,,
9/29/2017,6495.959961,1/3/2017,,,,,,
10/2/2017,6516.720215,1/3/2017,,,,,,
10/3/2017,6531.709961,1/3/2017,,,,,,
10/4/2017,6534.629883,1/3/2017,,,,,,
10/5/2017,6585.359863,1/3/2017,,,,,,
10/6/2017,6590.180176,1/3/2017,,,,,,
10/9/2017,6579.72998,1/3/2017,,,,,,
10/10/2017,6587.25,1/3/2017,,,,,,
10/11/2017,6603.549805,1/3/2017,,,,,,
10/12/2017,6591.509766,1/3/2017,,,,,,
10/13/2017,6605.799805,1/3/2017,,,,,,
10/16/2017,6624,1/3/2017,,,,,,
10/17/2017,6623.660156,1/3/2017,,,,,,
10/18/2017,6624.220215,1/3/2017,,,,,,
10/19/2017,6605.069824,1/3/2017,,,,,,
10/20/2017,6629.049805,1/3/2017,,,,,,
10/23/2017,6586.830078,1/3/2017,,,,,,
10/24/2017,6598.430176,1/3/2017,,,,,,
10/25/2017,6563.890137,1/3/2017,,,,,,
10/26/2017,6556.77002,1/3/2017,,,,,,
10/27/2017,6701.259766,1/3/2017,,,,,,
10/30/2017,6698.959961,1/3/2017,,,,,,
10/31/2017,6727.669922,1/3/2017,,,,,,
11/1/2017,6716.529785,1/3/2017,,,,,,
