Date,Close,MIN.YEAR,Year,New.Year,Min,Min.Date,Max,Max.Date
12/4/2020,0.423,1/2/2020,,,,,,
12/7/2020,0.389,1/2/2020,,,,,,
12/8/2020,0.388,1/2/2020,,,,,,
12/9/2020,0.408,1/2/2020,,,,,,
12/10/2020,0.383,1/2/2020,,,,,,
12/11/2020,0.361,1/2/2020,,,,,,
12/14/2020,0.358,1/2/2020,,,,,,
12/15/2020,0.375,1/2/2020,,,,,,
12/16/2020,0.37,1/2/2020,,,,,,
12/17/2020,0.377,1/2/2020,,,,,,
12/18/2020,0.381,1/2/2020,,,,,,
12/21/2020,0.383,1/2/2020,,,,,,
12/22/2020,0.364,1/2/2020,,,,,,
12/23/2020,0.377,1/2/2020,,,,,,
12/24/2020,0.364,1/2/2020,,,,,,
12/28/2020,0.364,1/2/2020,,,,,,
12/29/2020,0.378,1/2/2020,,,,,,
12/30/2020,0.37,1/2/2020,,,,,,
12/31/2020,0.361,1/2/2020,,,,,,
1/4/2021,0.354,1/4/2021,,,,,,
1/5/2021,0.377,1/4/2021,,,,,,
1/6/2021,0.432,1/4/2021,,,,,,
1/7/2021,0.454,1/4/2021,,,,,,
1/8/2021,0.479,1/4/2021,,,,,,
1/11/2021,0.498,1/4/2021,,,,,,
1/12/2021,0.503,1/4/2021,,,,,,
1/13/2021,0.476,1/4/2021,,,,,,
1/14/2021,0.484,1/4/2021,,,,,,
1/15/2021,0.455,1/4/2021,,,,,,
1/19/2021,0.449,1/4/2021,,,,,,
1/20/2021,0.449,1/4/2021,,,,,,
1/21/2021,0.447,1/4/2021,,,,,,
1/22/2021,0.434,1/4/2021,,,,,,
1/25/2021,0.41,1/4/2021,,,,,,
1/26/2021,0.412,1/4/2021,,,,,,
1/27/2021,0.407,1/4/2021,,,,,,
1/28/2021,0.43,1/4/2021,,,,,,
1/29/2021,0.443,1/4/2021,,,,,,
2/1/2021,0.424,1/4/2021,,,,,,
2/2/2021,0.445,1/4/2021,,,,,,
2/3/2021,0.459,1/4/2021,,,,,,
2/4/2021,0.459,1/4/2021,,,,,,
2/5/2021,0.467,1/4/2021,,,,,,
